Block,Floor,FloorLevel,Room,Size,Size_Category,Price,AvgPrice,Date,Direction,View,Distance,View_Score
52,18,Mid,H,304,Small_Unit,4400000,14474,12/6/2026,North East,6. Normal (Good Direction - S/E),280.0,6.0
34,25,Mid,D,707,Large_Unit,9350000,13225,11/6/2026,South,10. Poor Street (Busy Road),300.0,2.0
49,8,Low,C,304,Small_Unit,4580000,15066,10/6/2026,South West,6. Normal (Good Direction - S/E),220.0,6.0
17,13,Mid,E,451,Middle_Unit,6250000,13858,9/6/2026,South East,6. Normal (Good Direction - S/E),520.0,6.0
46,31,High,G,304,Small_Unit,4800000,15789,9/6/2026,North,10. Poor Street (Busy Road),180.0,2.0
22,17,Mid,F,484,Middle_Unit,6620000,13678,5/6/2026,South East,6. Normal (Good Direction - S/E),480.0,6.0
16,8,Low,H,327,Small_Unit,4680000,14312,5/6/2026,North East,6. Normal (Good Direction - S/E),500.0,6.0
27,1,Low,A,688,Large_Unit,7150000,10392,5/6/2026,East,9. Poor Close (Wall View),450.0,3.0
39,16,Mid,D,304,Small_Unit,4550000,14967,4/6/2026,South,9. Poor Close (Wall View),180.0,3.0
24,12,Mid,E,447,Middle_Unit,6000000,13423,4/6/2026,North,8. Normal (Poor Direction - N/W),380.0,4.5
49,12,Mid,C,304,Small_Unit,4800000,15789,4/6/2026,South West,6. Normal (Good Direction - S/E),220.0,6.0
3,5,Low,F,451,Middle_Unit,6200000,13747,3/6/2026,South East,3. Premium Partial (Slivers of Water/Park),700.0,8.0
39,22,Mid,F,284,Small_Unit,4910000,17289,3/6/2026,West,9. Poor Close (Wall View),180.0,3.0
51,7,Low,A,284,Small_Unit,4300000,15141,3/6/2026,North West,8. Normal (Poor Direction - N/W),280.0,4.5
1,19,Mid,F,451,Middle_Unit,6500000,14412,3/6/2026,South East,6. Normal (Good Direction - S/E),650.0,6.0
11,29,High,D,504,Middle_Unit,7180000,14246,3/6/2026,South West,6. Normal (Good Direction - S/E),550.0,6.0
22,5,Low,C,484,Middle_Unit,6180000,12769,3/6/2026,South West,6. Normal (Good Direction - S/E),480.0,6.0
9,8,Low,D,327,Small_Unit,4650000,14220,29/5/2026,South West,6. Normal (Good Direction - S/E),600.0,6.0
38,20,Mid,G,304,Small_Unit,4700000,15461,29/5/2026,North,10. Poor Street (Busy Road),150.0,2.0
44,11,Mid,H,304,Small_Unit,4660000,15329,28/5/2026,North,9. Poor Close (Wall View),150.0,3.0
49,18,Mid,B,284,Small_Unit,4800000,16901,26/5/2026,North West,4. Good Open (High Floor City),220.0,7.0
37,14,Mid,B,284,Small_Unit,4550000,16021,26/5/2026,East,6. Normal (Good Direction - S/E),150.0,6.0
4,6,Low,C,853,Large_Unit,10600000,12427,22/5/2026,South West,2. Premium (Full River - West/Sun),720.0,8.5
58,8,Low,C,688,Large_Unit,8350000,12137,22/5/2026,East,Internal Pool View,500.0,4.0
11,28,High,D,504,Middle_Unit,7150000,14187,22/5/2026,South West,6. Normal (Good Direction - S/E),550.0,6.0
23,9,Low,D,327,Small_Unit,4360000,13333,22/5/2026,South West,6. Normal (Good Direction - S/E),350.0,6.0
48,19,Mid,E,284,Small_Unit,3800000,13380,22/5/2026,East,10. Poor Street (Busy Road),200.0,2.0
37,22,Mid,G,304,Small_Unit,4690000,15428,22/5/2026,North,5. Good Internal (Pool/Garden/Mall),150.0,6.5
15,3,Low,C,853,Large_Unit,9000000,10551,22/5/2026,South West,3. Premium Partial (Slivers of Water/Park),650.0,8.0
18,13,Mid,E,504,Middle_Unit,6830000,13552,22/5/2026,South East,6. Normal (Good Direction - S/E),550.0,6.0
7,3,Low,C,484,Middle_Unit,6300000,13017,19/5/2026,South West,2. Premium (Full River - West/Sun),600.0,8.5
34,13,Mid,D,707,Large_Unit,8600000,12164,14/5/2026,South,10. Poor Street (Busy Road),300.0,2.0
2,14,Mid,A,451,Middle_Unit,5850000,12971,14/5/2026,North West,2. Premium (Full River - West/Sun),680.0,8.5
49,9,Low,F,284,Small_Unit,4300000,15141,14/5/2026,South East,6. Normal (Good Direction - S/E),220.0,6.0
17,24,Mid,A,451,Middle_Unit,5400000,11973,11/5/2026,North West,8. Normal (Poor Direction - N/W),520.0,4.5
2,9,Low,G,327,Small_Unit,3180000,9725,11/5/2026,North East,2. Premium (Full River - West/Sun),680.0,8.5
10,2,Low,D,327,Small_Unit,4480000,13700,11/5/2026,South West,3. Premium Partial (Slivers of Water/Park),580.0,8.0
47,10,Low,C,304,Small_Unit,4600000,15132,11/5/2026,South,6. Normal (Good Direction - S/E),180.0,6.0
18,14,Mid,B,515,Middle_Unit,6740000,13087,11/5/2026,North West,8. Normal (Poor Direction - N/W),550.0,4.5
17,9,Low,C,327,Small_Unit,4358000,13327,11/5/2026,South West,6. Normal (Good Direction - S/E),520.0,6.0
43,31,High,H,304,Small_Unit,4628000,15224,8/5/2026,North,9. Poor Close (Wall View),220.0,3.0
38,20,Mid,F,284,Small_Unit,3990000,14049,6/5/2026,West,9. Poor Close (Wall View),150.0,3.0
32,13,Mid,H,327,Small_Unit,4590000,14037,6/5/2026,East,10. Poor Street (Busy Road),380.0,2.0
37,28,High,E,284,Small_Unit,4500000,15845,6/5/2026,West,9. Poor Close (Wall View),150.0,3.0
42,17,Mid,E,284,Small_Unit,3200000,11268,6/5/2026,East,9. Poor Close (Wall View),200.0,3.0
31,22,Mid, A,451,Middle_Unit,6200000,13747,28/4/2026,South,5. Good Internal (Pool/Garden/Mall),400.0,6.5
39,31,High, G,304,Small_Unit,4550000,14967,28/4/2026,North,10. Poor Street (Busy Road),180.0,2.0
11,25,Mid, D,504,Middle_Unit,7180000,14246,28/4/2026,South West,6. Normal (Good Direction - S/E),550.0,6.0
37,15,Mid, G,304,Small_Unit,4690000,15428,28/4/2026,North,5. Good Internal (Pool/Garden/Mall),150.0,6.5
43,31,High, H,304,Small_Unit,4628000,15224,28/4/2026,North,9. Poor Close (Wall View),220.0,3.0
42,3,Low, B,284,Small_Unit,3930000,13838,28/4/2026,West,9. Poor Close (Wall View),200.0,3.0
47,5,Low, C,304,Small_Unit,4600000,15132,28/4/2026,South,6. Normal (Good Direction - S/E),180.0,6.0
17,1,Low, C,327,Small_Unit,3980000,12171,28/4/2026,South West,6. Normal (Good Direction - S/E),520.0,6.0
32,17,Mid, E,451,Middle_Unit,6350000,14080,28/4/2026,North,10. Poor Street (Busy Road),380.0,2.0
48,21,Mid, B,284,Small_Unit,4398000,15486,28/4/2026,West,9. Poor Close (Wall View),200.0,3.0
38,15,Mid, B,284,Small_Unit,4600000,16197,28/4/2026,East,9. Poor Close (Wall View),150.0,3.0
23,5,Low, D,327,Small_Unit,4360000,13333,28/4/2026,South West,6. Normal (Good Direction - S/E),350.0,6.0
18,15,Mid, B,515,Middle_Unit,6740000,13087,28/4/2026,North West,8. Normal (Poor Direction - N/W),550.0,4.5
18,30,High, E,504,Middle_Unit,7180000,14246,28/4/2026,South East,6. Normal (Good Direction - S/E),550.0,6.0
47,15,Mid, A,284,Small_Unit,4187700,14745,28/4/2026,West,9. Poor Close (Wall View),180.0,3.0
47,10,Low, E,284,Small_Unit,4560000,16056,22/4/2026,East,9. Poor Close (Wall View),180.0,3.0
41,16,Mid, H,304,Small_Unit,4395000,14457,22/4/2026,North,10. Poor Street (Busy Road),220.0,2.0
42,17,Mid, C,304,Small_Unit,4560000,15000,22/4/2026,South,6. Normal (Good Direction - S/E),200.0,6.0
48,5,Low, E,284,Small_Unit,4000000,14085,22/4/2026,East,10. Poor Street (Busy Road),200.0,2.0
39,23,Mid, C,304,Small_Unit,4300000,14145,22/4/2026,South,9. Poor Close (Wall View),180.0,3.0
32,18,Mid, E,451,Middle_Unit,5950000,13193,22/4/2026,North,10. Poor Street (Busy Road),380.0,2.0
9,30,High, D,327,Small_Unit,4680000,14312,22/4/2026,South West,6. Normal (Good Direction - S/E),600.0,6.0
40,10,Low, C,304,Small_Unit,4097000,13477,22/4/2026,South,9. Poor Close (Wall View),200.0,3.0
41,10,Low, H,304,Small_Unit,4550000,14967,22/4/2026,North,10. Poor Street (Busy Road),220.0,2.0
21,16,Mid, B,451,Middle_Unit,5480000,12151,22/4/2026,North West,8. Normal (Poor Direction - N/W),500.0,4.5
47,4,Low, D,304,Small_Unit,4000000,13158,22/4/2026,South,6. Normal (Good Direction - S/E),180.0,6.0
17,9,Low, C,327,Small_Unit,4358000,13327,9/4/2026,South West,6. Normal (Good Direction - S/E),520.0,6.0
9,30,High, D,327,Small_Unit,4680000,14312,9/4/2026,South West,6. Normal (Good Direction - S/E),600.0,6.0
21,4,Low, D,327,Small_Unit,4600000,14067,9/4/2026,South West,6. Normal (Good Direction - S/E),500.0,6.0
22,1,Low, E,504,Middle_Unit,5730000,11369,9/4/2026,South East,6. Normal (Good Direction - S/E),480.0,6.0
9,14,Mid, B,451,Middle_Unit,6020000,13348,9/4/2026,North West,8. Normal (Poor Direction - N/W),600.0,4.5
52,7,Low, F,284,Small_Unit,4200000,14789,9/4/2026,South East,6. Normal (Good Direction - S/E),280.0,6.0
17,14,Mid, F,451,Middle_Unit,6250000,13858,9/4/2026,South East,6. Normal (Good Direction - S/E),520.0,6.0
41,19,Mid, B,284,Small_Unit,4700000,16549,9/4/2026,West,10. Poor Street (Busy Road),220.0,2.0
16,9,Low, A,451,Middle_Unit,6130000,13592,9/4/2026,North West,8. Normal (Poor Direction - N/W),500.0,4.5
22,3,Low, C,484,Middle_Unit,5910000,12211,9/4/2026,South West,6. Normal (Good Direction - S/E),480.0,6.0
40,22,Mid, G,304,Small_Unit,4700000,15461,9/4/2026,North,10. Poor Street (Busy Road),200.0,2.0
43,13,Mid, H,304,Small_Unit,3980000,13092,1/4/2026,North,9. Poor Close (Wall View),220.0,3.0
3,20,Mid, C,327,Small_Unit,4800000,14679,30/3/2026,South West,2. Premium (Full River - West/Sun),700.0,8.5
19,10,Low, C,327,Small_Unit,4550000,13914,26/3/2026,South West,6. Normal (Good Direction - S/E),550.0,6.0
32,16,Mid, F,451,Middle_Unit,6200000,13747,24/3/2026,North,10. Poor Street (Busy Road),380.0,2.0
36,32,High, B,478,Middle_Unit,6960000,14561,24/3/2026,North,4. Good Open (High Floor City),300.0,7.0
2,20,Mid, B,451,Middle_Unit,5630000,12483,23/3/2026,North West,2. Premium (Full River - West/Sun),680.0,8.5
41,14,Mid, B,284,Small_Unit,4600000,16197,23/3/2026,West,10. Poor Street (Busy Road),220.0,2.0
23,1,Low, C,327,Small_Unit,3950000,12080,20/3/2026,South West,6. Normal (Good Direction - S/E),350.0,6.0
28,6,Low, D,688,Large_Unit,7730000,11235,20/3/2026,West,9. Poor Close (Wall View),480.0,3.0
24,3,Low, E,447,Middle_Unit,5800000,12975,20/3/2026,North,8. Normal (Poor Direction - N/W),380.0,4.5
8,3,Low, C,327,Small_Unit,4500000,13761,20/3/2026,South West,6. Normal (Good Direction - S/E),620.0,6.0
48,6,Low, F,284,Small_Unit,3800000,13380,19/3/2026,East,10. Poor Street (Busy Road),200.0,2.0
19,17,Mid, G,327,Small_Unit,4780000,14618,18/3/2026,North East,6. Normal (Good Direction - S/E),550.0,6.0
21,7,Low, F,451,Middle_Unit,6380000,14146,13/3/2026,South East,6. Normal (Good Direction - S/E),500.0,6.0
41,11,Mid, H,304,Small_Unit,4100000,13487,13/3/2026,North,10. Poor Street (Busy Road),220.0,2.0
45,28,High, A,284,Small_Unit,4580000,16127,13/3/2026,West,9. Poor Close (Wall View),150.0,3.0
39,31,High, G,304,Small_Unit,4550000,14967,11/3/2026,North,10. Poor Street (Busy Road),180.0,2.0
52,10,Low, H,304,Small_Unit,4180000,13750,11/3/2026,North East,6. Normal (Good Direction - S/E),280.0,6.0
22,25,Mid, A,515,Middle_Unit,6888000,13375,11/3/2026,North West,8. Normal (Poor Direction - N/W),480.0,4.5
16,7,Low, F,451,Middle_Unit,6000000,13304,11/3/2026,South East,6. Normal (Good Direction - S/E),500.0,6.0
4,11,Mid, B,819,Large_Unit,9560000,11673,10/3/2026,North West,2. Premium (Full River - West/Sun),720.0,8.5
14,20,Mid, C,853,Large_Unit,9780000,11465,10/3/2026,South West,6. Normal (Good Direction - S/E),680.0,6.0
17,3,Low, F,451,Middle_Unit,5408800,11993,9/3/2026,South East,6. Normal (Good Direction - S/E),520.0,6.0
29,20,Mid, B,451,Middle_Unit,4800000,10643,6/3/2026,East,9. Poor Close (Wall View),450.0,3.0
45,32,High, A,284,Small_Unit,4500000,15845,5/3/2026,West,9. Poor Close (Wall View),150.0,3.0
44,10,Low, F,284,Small_Unit,4200000,14789,5/3/2026,East,9. Poor Close (Wall View),150.0,3.0
20,9,Low, C,327,Small_Unit,4439000,13575,4/3/2026,South West,6. Normal (Good Direction - S/E),520.0,6.0
40,9,Low, H,304,Small_Unit,4638000,15257,4/3/2026,North,10. Poor Street (Busy Road),200.0,2.0
32,1,Low, H,327,Small_Unit,3980000,12171,4/3/2026,East,10. Poor Street (Busy Road),380.0,2.0
32,9,Low, G,327,Small_Unit,4350000,13303,3/3/2026,East,10. Poor Street (Busy Road),380.0,2.0
26,4,Low, C,326,Small_Unit,4388000,13460,3/3/2026,West,9. Poor Close (Wall View),420.0,3.0
31,24,Mid, E,451,Middle_Unit,5800000,12860,2/3/2026,North,10. Poor Street (Busy Road),400.0,2.0
36,27,High, C,307,Small_Unit,4400000,14332,2/3/2026,East,6. Normal (Good Direction - S/E),300.0,6.0
37,12,Mid, D,304,Small_Unit,4418000,14533,2/3/2026,South,9. Poor Close (Wall View),150.0,3.0
7,25,Mid, D,504,Middle_Unit,6520000,12937,27/2/2026,South West,2. Premium (Full River - West/Sun),600.0,8.5
31,1,Low, E,451,Middle_Unit,5200000,11530,26/2/2026,North,10. Poor Street (Busy Road),400.0,2.0
37,18,Mid, E,284,Small_Unit,4000000,14085,26/2/2026,West,9. Poor Close (Wall View),150.0,3.0
48,8,Low, C,304,Small_Unit,4500000,14803,24/2/2026,South,6. Normal (Good Direction - S/E),200.0,6.0
32,12,Mid, B,451,Middle_Unit,5000000,11086,24/2/2026,South,5. Good Internal (Pool/Garden/Mall),380.0,6.5
37,14,Mid, H,304,Small_Unit,4395000,14457,24/2/2026,North,5. Good Internal (Pool/Garden/Mall),150.0,6.5
36,18,Mid, D,307,Small_Unit,4350000,14169,16/2/2026,East,6. Normal (Good Direction - S/E),300.0,6.0
6,8,Low, D,853,Large_Unit,9600000,11254,16/2/2026,South West,11. Poor Highway (Tai Chung Kiu Noise Penalty),720.0,1.0
8,28,High, A,451,Middle_Unit,6450000,14302,16/2/2026,North West,4. Good Open (High Floor City),620.0,7.0
41,21,Mid, F,284,Small_Unit,4460000,15704,16/2/2026,East,9. Poor Close (Wall View),220.0,3.0
16,14,Mid, D,327,Small_Unit,4420000,13517,13/2/2026,South West,6. Normal (Good Direction - S/E),500.0,6.0
13,11,Mid, A,819,Large_Unit,10560000,12894,13/2/2026,North West,1. Premium Plus (Full River/Park),700.0,9.0
16,1,Low, E,451,Middle_Unit,5380000,11929,13/2/2026,South East,6. Normal (Good Direction - S/E),500.0,6.0
10,23,Mid, C,327,Small_Unit,4640000,14190,13/2/2026,South West,3. Premium Partial (Slivers of Water/Park),580.0,8.0
17,14,Mid, B,451,Middle_Unit,5650000,12528,12/2/2026,North West,8. Normal (Poor Direction - N/W),520.0,4.5
40,4,Low, B,284,Small_Unit,4000000,14085,11/2/2026,East,9. Poor Close (Wall View),200.0,3.0
8,26,High, D,327,Small_Unit,4498000,13755,11/2/2026,South West,6. Normal (Good Direction - S/E),620.0,6.0
52,13,Mid, G,304,Small_Unit,4080000,13421,10/2/2026,North East,6. Normal (Good Direction - S/E),280.0,6.0
37,23,Mid, E,284,Small_Unit,4268000,15028,9/2/2026,West,9. Poor Close (Wall View),150.0,3.0
43,29,High, A,284,Small_Unit,4300000,15141,9/2/2026,West,9. Poor Close (Wall View),220.0,3.0
24,26,High, D,326,Small_Unit,4568000,14012,9/2/2026,West,10. Poor Street (Busy Road),380.0,2.0
52,19,Mid, F,284,Small_Unit,4450000,15669,9/2/2026,South East,6. Normal (Good Direction - S/E),280.0,6.0
49,9,Low, B,284,Small_Unit,3999000,14081,6/2/2026,North West,4. Good Open (High Floor City),220.0,7.0
8,20,Mid, H,327,Small_Unit,4608000,14092,6/2/2026,North East,6. Normal (Good Direction - S/E),620.0,6.0
24,26,High, E,447,Middle_Unit,6600000,14765,6/2/2026,North,8. Normal (Poor Direction - N/W),380.0,4.5
40,14,Mid, A,284,Small_Unit,3800000,13380,4/2/2026,East,9. Poor Close (Wall View),200.0,3.0
32,30,High, D,327,Small_Unit,4210000,12875,3/2/2026,West,9. Poor Close (Wall View),380.0,3.0
39,16,Mid, A,284,Small_Unit,4290000,15106,3/2/2026,East,9. Poor Close (Wall View),180.0,3.0
47,18,Mid, G,304,Small_Unit,4120000,13553,2/2/2026,North,10. Poor Street (Busy Road),180.0,2.0
41,17,Mid, F,284,Small_Unit,4550000,16021,2/2/2026,East,9. Poor Close (Wall View),220.0,3.0
10,25,Mid, D,327,Small_Unit,4680000,14312,30/1/2026,South West,3. Premium Partial (Slivers of Water/Park),580.0,8.0
52,15,Mid, C,304,Small_Unit,4450000,14638,29/1/2026,South West,6. Normal (Good Direction - S/E),280.0,6.0
1,17,Mid, C,327,Small_Unit,4508000,13786,29/1/2026,South West,2. Premium (Full River - West/Sun),650.0,8.5
52,4,Low, F,284,Small_Unit,4050000,14261,28/1/2026,South East,6. Normal (Good Direction - S/E),280.0,6.0
41,22,Mid, A,284,Small_Unit,4370000,15387,26/1/2026,West,10. Poor Street (Busy Road),220.0,2.0
5,4,Low, B,819,Large_Unit,8650000,10562,26/1/2026,North West,2. Premium (Full River - West/Sun),750.0,8.5
9,12,Mid, C,327,Small_Unit,3780000,11560,26/1/2026,South West,6. Normal (Good Direction - S/E),600.0,6.0
9,15,Mid, C,327,Small_Unit,4475000,13685,26/1/2026,South West,6. Normal (Good Direction - S/E),600.0,6.0
9,4,Low, E,451,Middle_Unit,5330000,11818,22/1/2026,South East,4. Good Open (High Floor City),600.0,7.0
16,9,Low, H,327,Small_Unit,4400000,13456,21/1/2026,North East,6. Normal (Good Direction - S/E),500.0,6.0
39,24,Mid, B,284,Small_Unit,4000000,14085,20/1/2026,East,9. Poor Close (Wall View),180.0,3.0
2,11,Mid, C,327,Small_Unit,4350000,13303,19/1/2026,South West,2. Premium (Full River - West/Sun),680.0,8.5
50,32,High, D,304,Small_Unit,4580000,15066,19/1/2026,South West,6. Normal (Good Direction - S/E),250.0,6.0
17,20,Mid, A,451,Middle_Unit,5480000,12151,16/1/2026,North West,8. Normal (Poor Direction - N/W),520.0,4.5
34,19,Mid, C,707,Large_Unit,8500000,12023,14/1/2026,North,4. Good Open (High Floor City),300.0,7.0
42,22,Mid, E,284,Small_Unit,3500000,12324,13/1/2026,East,9. Poor Close (Wall View),200.0,3.0
39,5,Low, B,284,Small_Unit,3995000,14067,13/1/2026,East,9. Poor Close (Wall View),180.0,3.0
25,24,Mid, A,688,Large_Unit,7600000,11047,12/1/2026,North,8. Normal (Poor Direction - N/W),400.0,4.5
21,20,Mid, C,327,Small_Unit,4380000,13394,12/1/2026,South West,6. Normal (Good Direction - S/E),500.0,6.0
42,3,Low, B,284,Small_Unit,3620000,12746,12/1/2026,West,9. Poor Close (Wall View),200.0,3.0
26,8,Low, F,447,Middle_Unit,5480000,12260,9/1/2026,South,10. Poor Street (Busy Road),420.0,2.0
40,15,Mid, H,304,Small_Unit,4250000,13980,9/1/2026,North,10. Poor Street (Busy Road),200.0,2.0
41,3,Low, F,284,Small_Unit,3900000,13732,8/1/2026,East,9. Poor Close (Wall View),220.0,3.0
42,14,Mid, F,284,Small_Unit,4350000,15317,6/1/2026,East,9. Poor Close (Wall View),200.0,3.0
17,11,Mid, G,327,Small_Unit,4510000,13792,6/1/2026,North East,6. Normal (Good Direction - S/E),520.0,6.0
51,12,Mid, E,284,Small_Unit,4150000,14613,6/1/2026,South East,6. Normal (Good Direction - S/E),280.0,6.0
1,2,Low, C,327,Small_Unit,4200000,12844,5/1/2026,South West,2. Premium (Full River - West/Sun),650.0,8.5
38,32,High, F,284,Small_Unit,4310000,15176,5/1/2026,West,9. Poor Close (Wall View),150.0,3.0
50,3,Low, G,304,Small_Unit,3820000,12566,5/1/2026,North East,6. Normal (Good Direction - S/E),250.0,6.0
5,27,High, C,853,Large_Unit,10550000,12368,2/1/2026,South West,2. Premium (Full River - West/Sun),750.0,8.5
46,32,High, A,284,Small_Unit,4338000,15275,2/1/2026,West,4. Good Open (High Floor City),180.0,7.0
33,8,Low, B,820,Large_Unit,9500000,11585,31/12/2025,West,10. Poor Street (Busy Road),350.0,2.0
5,25,Mid, C,853,Large_Unit,10498000,12307,30/12/2025,South West,2. Premium (Full River - West/Sun),750.0,8.5
39,16,Mid, F,284,Small_Unit,3900000,13732,30/12/2025,West,9. Poor Close (Wall View),180.0,3.0
49,5,Low, F,284,Small_Unit,4140000,14577,24/12/2025,South East,6. Normal (Good Direction - S/E),220.0,6.0
44,7,Low, F,284,Small_Unit,4000000,14085,18/12/2025,East,9. Poor Close (Wall View),150.0,3.0
31,14,Mid, E,451,Middle_Unit,5800000,12860,18/12/2025,North,10. Poor Street (Busy Road),400.0,2.0
48,30,High, F,284,Small_Unit,4350000,15317,17/12/2025,East,10. Poor Street (Busy Road),200.0,2.0
48,18,Mid, H,304,Small_Unit,4350000,14309,16/12/2025,North,10. Poor Street (Busy Road),200.0,2.0
26,28,High, G,326,Small_Unit,3980000,12209,15/12/2025,East,10. Poor Street (Busy Road),420.0,2.0
49,17,Mid, D,304,Small_Unit,4300000,14145,15/12/2025,South West,6. Normal (Good Direction - S/E),220.0,6.0
37,7,Low, E,284,Small_Unit,3930000,13838,12/12/2025,West,9. Poor Close (Wall View),150.0,3.0
46,23,Mid, F,284,Small_Unit,4080000,14366,12/12/2025,East,9. Poor Close (Wall View),180.0,3.0
16,6,Low, G,327,Small_Unit,4350000,13303,11/12/2025,North East,6. Normal (Good Direction - S/E),500.0,6.0
15,21,Mid, A,819,Large_Unit,8000000,9768,11/12/2025,North West,1. Premium Plus (Full River/Park),650.0,9.0
43,21,Mid, H,304,Small_Unit,3980000,13092,11/12/2025,North,9. Poor Close (Wall View),220.0,3.0
48,7,Low, D,304,Small_Unit,3990000,13125,10/12/2025,South,6. Normal (Good Direction - S/E),200.0,6.0
3,27,High, F,451,Middle_Unit,6600000,14634,10/12/2025,South East,3. Premium Partial (Slivers of Water/Park),700.0,8.0
45,31,High, B,284,Small_Unit,3980000,14014,10/12/2025,West,9. Poor Close (Wall View),150.0,3.0
49,11,Mid, A,284,Small_Unit,3900000,13732,9/12/2025,North West,8. Normal (Poor Direction - N/W),220.0,4.5
36,17,Mid, C,307,Small_Unit,4080000,13290,9/12/2025,East,6. Normal (Good Direction - S/E),300.0,6.0
