Phase,Block,Floor,FloorLevel,Room,Size,Size_Category,Price,AvgPrice,Date,Direction,View,Distance,View_Score
 6 Maywood ,7,26,High,E,441,Small_Unit,4650000,10544,7/7/2026,South West,6. Normal (Good Direction - S/E),1500,6
 5 Lynwood ,1,23,Mid,A,635,Large_Unit,6280000,9890,7/7/2026,South,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,11,11,Mid,G,547,Middle_Unit,4650000,8501,6/7/2026,East,4. Good Open (Distant Greenery),1400,7
 6 Maywood ,8,16,Mid,H,540,Middle_Unit,4720000,8741,2/7/2026,South,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,7,31,High,E,446,Small_Unit,4410000,9888,30/6/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 6 Maywood ,1,11,Mid,A,629,Large_Unit,5538000,8804,30/6/2026,South West,6. Normal (Good Direction - S/E),1500,6
 5 Lynwood ,4,13,Mid,G,547,Middle_Unit,5000000,9141,30/6/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,14,32,High,G,548,Middle_Unit,5000000,9124,30/6/2026,North East,10. Poor Street (Light Rail Track / Road),500,2
 5 Lynwood ,2,15,Mid,E,446,Small_Unit,4180000,9372,29/6/2026,North,8. Normal (Poor Direction - N/W),1500,4.5
 2 Sherwood ,2,16,Mid,E,448,Small_Unit,4400000,9821,29/6/2026,North,8. Normal (Poor Direction - N/W),500,4.5
 6 Maywood ,4,11,Mid,C,544,Middle_Unit,5010000,9210,29/6/2026,South West,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,11,5,Low,G,548,Middle_Unit,4580000,8358,29/6/2026,East,10. Poor Street (Light Rail Track / Road),500,2
 5 Lynwood ,1,12,Mid,E,446,Small_Unit,3950000,8857,26/6/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,5,7,Low,E,446,Small_Unit,3950000,8857,26/6/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,5,29,High,B,630,Large_Unit,5650000,8968,26/6/2026,South,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,6,32,High,A,636,Large_Unit,6180000,9717,26/6/2026,North East,6. Normal (Good Direction - S/E),1300,6
 1 Locwood ,13,20,Mid,F,449,Small_Unit,4200000,9354,25/6/2026,South West,2. Premium (Open Channel/Greenery),500,8.5
 1 Locwood ,4,2,Low,E,448,Small_Unit,4050000,9040,25/6/2026,South West,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,12,3,Low,D,547,Middle_Unit,4750000,8684,24/6/2026,North West,10. Poor Street (Busy Road),1400,2
 6 Maywood ,2,36,High,A,629,Large_Unit,5390000,8569,24/6/2026,South,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,10,11,Mid,D,551,Middle_Unit,4700000,8530,24/6/2026,North,10. Poor Street (Light Rail Track / Road),500,2
 1 Locwood ,9,8,Low,H,552,Middle_Unit,4800000,8696,23/6/2026,South East,2. Premium (Open Channel/Greenery),500,8.5
 5 Lynwood ,3,8,Low,C,546,Middle_Unit,4580000,8388,23/6/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 2 Sherwood ,5,35,High,D,551,Middle_Unit,5200000,9437,23/6/2026,North West,1. Premium Plus (Full Park),500,9
 6 Maywood ,1,18,Mid,D,540,Middle_Unit,4980000,9222,15/6/2026,North East,4. Good Open (Distant Greenery),1500,7
 7 Kenswood ,8,21,Mid,B,630,Large_Unit,5400000,8571,15/6/2026,East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,2,33,High,F,449,Small_Unit,4500000,10022,15/6/2026,North,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,13,13,Mid,A,638,Large_Unit,5380000,8433,15/6/2026,South East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,8,19,Mid,F,449,Small_Unit,3980000,8864,11/6/2026,North West,10. Poor Street (Light Rail Track / Road),500,2
 1 Locwood ,9,17,Mid,G,548,Middle_Unit,5400000,9864,11/6/2026,East,10. Poor Street (Light Rail Track / Road),500,2
 3 Chestwood ,3,15,Mid,E,448,Small_Unit,4280000,9554,10/6/2026,North,8. Normal (Poor Direction - N/W),1300,4.5
 5 Lynwood ,6,24,Mid,B,630,Large_Unit,5450000,8651,10/6/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,9,6,Low,H,552,Middle_Unit,4850000,8786,9/6/2026,South East,2. Premium (Open Channel/Greenery),500,8.5
 2 Sherwood ,3,36,High,H,549,Middle_Unit,5388000,9814,9/6/2026,South East,1. Premium Plus (Full Park),500,9
 7 Kenswood ,11,3,Low,D,547,Middle_Unit,4620000,8446,8/6/2026,North West,10. Poor Street (Busy Road),1400,2
 1 Locwood ,13,17,Mid,G,548,Middle_Unit,4800000,8759,8/6/2026,East,10. Poor Street (Light Rail Track / Road),500,2
 1 Locwood ,4,14,Mid,D,551,Middle_Unit,4750000,8621,5/6/2026,South,2. Premium (Open Channel/Greenery),450,8.5
 2 Sherwood ,2,14,Mid,C,551,Middle_Unit,3980000,7223,5/6/2026,North East,6. Normal (Good Direction - S/E),500,6
 7 Kenswood ,9,19,Mid,H,547,Middle_Unit,5368000,9814,5/6/2026,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,5,11,Mid,E,446,Small_Unit,4060000,9103,5/6/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,13,21,Mid,F,449,Small_Unit,4375000,9744,5/6/2026,South West,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,2,10,Low,G,547,Middle_Unit,4680000,8556,5/6/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 7 Kenswood ,4,7,Low,E,446,Small_Unit,4300000,9641,5/6/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 7 Kenswood ,3,21,Mid,E,446,Small_Unit,4370000,9798,5/6/2026,North,8. Normal (Poor Direction - N/W),1400,4.5
 6 Maywood ,5,29,High,F,441,Small_Unit,4250000,9637,3/6/2026,South West,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,13,15,Mid,E,448,Small_Unit,4530000,10112,3/6/2026,South East,2. Premium (Open Channel/Greenery),500,8.5
 5 Lynwood ,3,1,Low,A,638,Large_Unit,5080000,7962,2/6/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,12,11,Mid,E,448,Small_Unit,4238000,9460,2/6/2026,South West,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,11,32,High,H,547,Middle_Unit,5275000,9644,1/6/2026,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,7,15,Mid,H,550,Middle_Unit,4850000,8818,1/6/2026,East,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,2,6,Low,C,546,Middle_Unit,4620000,8462,28/5/2026,North East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,8,21,Mid,D,544,Middle_Unit,5150000,9467,28/5/2026,North,8. Normal (Poor Direction - N/W),1500,4.5
 5 Lynwood ,5,22,Mid,F,442,Small_Unit,4300000,9729,27/5/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,8,23,Mid,B,633,Large_Unit,5600000,8847,27/5/2026,East,10. Poor Street (Light Rail Track / Road),500,2
 3 Chestwood ,4,27,High,F,449,Small_Unit,4550000,10134,28/5/2026,West,1. Premium Plus (Full Park),1300,9
 7 Kenswood ,10,25,Mid,H,547,Middle_Unit,4780000,8739,28/5/2026,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,3,33,High,F,986,Large_Unit,8250000,8367,28/5/2026,East,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,1,5,Low,A,639,Large_Unit,5330000,8341,22/5/2026,South West,1. Premium Plus (Full Park),1300,9
 2 Sherwood ,6,33,High,B,633,Large_Unit,5500000,8689,22/5/2026,South East,1. Premium Plus (Full Park),500,9
 5 Lynwood ,10,25,Mid,G,547,Middle_Unit,4480000,8190,22/5/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,5,33,High,G,547,Middle_Unit,4650000,8501,21/5/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,7,5,Low,B,630,Large_Unit,5080000,8063,21/5/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,3,30,High,B,630,Large_Unit,5200000,8254,19/5/2026,South,5. Good Internal (Pool/Piazza),1400,6.5
 6 Maywood ,5,10,Low,E,441,Small_Unit,4200000,9524,19/5/2026,North East,4. Good Open (Distant Greenery),1500,7
 6 Maywood ,8,5,Low,E,441,Small_Unit,4130000,9365,18/5/2026,North West,4. Good Open (Distant Greenery),1500,7
 3 Chestwood ,6,5,Low,H,552,Middle_Unit,4750000,8605,18/5/2026,North West,1. Premium Plus (Full Park),1300,9
 1 Locwood ,8,8,Low,E,448,Small_Unit,4420000,9866,12/5/2026,North West,10. Poor Street (Light Rail Track / Road),500,2
 1 Locwood ,2,5,Low,D,551,Middle_Unit,4398000,7982,12/5/2026,South,2. Premium (Open Channel/Greenery),450,8.5
 1 Locwood ,5,16,Mid,H,549,Middle_Unit,5400000,9836,12/5/2026,South East,2. Premium (Open Channel/Greenery),450,8.5
 3 Chestwood ,6,13,Mid,A,636,Large_Unit,5330000,8381,12/5/2026,North East,6. Normal (Good Direction - S/E),1300,6
 7 Kenswood ,11,32,High,G,547,Middle_Unit,5068000,9265,12/5/2026,East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,7,18,Mid,A,635,Large_Unit,5270000,8299,12/5/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 6 Maywood ,5,22,Mid,E,441,Small_Unit,4360000,9887,12/5/2026,North East,4. Good Open (Distant Greenery),1500,7
 7 Kenswood ,11,35,High,D,544,Middle_Unit,5380000,9890,12/5/2026,North West,10. Poor Street (Busy Road),1400,2
 1 Locwood ,10,20,Mid,H,549,Middle_Unit,5330000,9709,11/5/2026,South East,2. Premium (Open Channel/Greenery),500,8.5
 6 Maywood ,3,15,Mid,C,544,Middle_Unit,4900000,9007,11/5/2026,North,4. Good Open (Distant Greenery),1500,7
 5 Lynwood ,4,15,Mid,E,448,Small_Unit,4000000,8928,11/5/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 6 Maywood ,1,10,Low,D,540,Middle_Unit,4730000,8759,8/5/2026,North East,4. Good Open (Distant Greenery),1500,7
 5 Lynwood ,3,25,Mid,H,547,Middle_Unit,4850000,8867,8/5/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,1,10,Low,C,546,Middle_Unit,4350000,7967,8/5/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,13,25,Mid,D,552,Middle_Unit,4900000,8893,8/5/2026,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,8,30,High,F,442,Small_Unit,4048000,9158,8/5/2026,North West,10. Poor Street (Busy Road),1400,2
 1 Locwood ,2,2,Low,E,448,Small_Unit,3880000,8661,8/5/2026,North,10. Poor Street (Light Rail Track / Road),450,2
 1 Locwood ,14,24,Mid,D,551,Middle_Unit,4850000,8802,8/5/2026,North,10. Poor Street (Light Rail Track / Road),500,2
 2 Sherwood ,5,23,Mid,A,636,Large_Unit,5600000,8805,8/5/2026,South West,1. Premium Plus (Full Park),500,9
 7 Kenswood ,4,30,High,C,546,Middle_Unit,4880000,8938,7/5/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 7 Kenswood ,8,2,Low,H,550,Middle_Unit,4088000,7433,7/5/2026,South,5. Good Internal (Pool/Piazza),1400,6.5
 3 Chestwood ,3,18,Mid,D,543,Middle_Unit,4280000,7882,7/5/2026,North,8. Normal (Poor Direction - N/W),1300,4.5
 3 Chestwood ,2,9,Low,H,552,Middle_Unit,5100000,9239,6/5/2026,North,8. Normal (Poor Direction - N/W),1300,4.5
 1 Locwood ,1,25,Mid,E,448,Small_Unit,4180000,9330,6/5/2026,South West,2. Premium (Open Channel/Greenery),450,8.5
 5 Lynwood ,5,26,High,E,446,Small_Unit,4300000,9641,30/4/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 2 Sherwood ,2,30,High,B,633,Large_Unit,5650000,8926,30/4/2026,South West,1. Premium Plus (Full Park),500,9
 7 Kenswood ,1,16,Mid,H,547,Middle_Unit,4688000,8570,30/4/2026,East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,8,5,Low,G,548,Middle_Unit,4800000,8759,30/4/2026,North East,10. Poor Street (Light Rail Track / Road),500,2
 1 Locwood ,2,5,Low,D,551,Middle_Unit,4398000,7982,30/4/2026,South,2. Premium (Open Channel/Greenery),450,8.5
 6 Maywood ,8,29,High,B,623,Large_Unit,5800000,9310,30/4/2026,East,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,2,14,Mid,C,551,Middle_Unit,4350000,7895,30/4/2026,North East,10. Poor Street (Light Rail Track / Road),450,2
 5 Lynwood ,4,15,Mid,F,441,Small_Unit,4000000,9070,28/4/2026,West,10. Poor Street (Busy Road),1500,2
 3 Chestwood ,6,1,Low,B,633,Large_Unit,4450000,7030,28/4/2026,South East,1. Premium Plus (Full Park),1300,9
 6 Maywood ,6,2,Low,F,441,Small_Unit,4250000,9637,28/4/2026,North,4. Good Open (Distant Greenery),1500,7
 1 Locwood ,22,7,Low,E,448,Small_Unit,4068000,9080,28/4/2026,North,Internal Premium,780,4
 6 Maywood ,2,24,Mid,H,540,Middle_Unit,4750000,8796,27/4/2026,West,8. Normal (Poor Direction - N/W),1500,4.5
 2 Sherwood ,1,13,Mid,D,552,Middle_Unit,4860000,8820,27/4/2026,North East,6. Normal (Good Direction - S/E),500,6
 3 Chestwood ,2,5,Low,H,552,Middle_Unit,5100000,9239,27/4/2026,North,8. Normal (Poor Direction - N/W),1300,4.5
 3 Chestwood ,5,21,Mid,B,633,Large_Unit,5500000,8689,27/4/2026,South,1. Premium Plus (Full Park),1300,9
 1 Locwood ,5,5,Low,E,448,Small_Unit,4120000,9196,27/4/2026,North East,10. Poor Street (Light Rail Track / Road),450,2
 1 Locwood ,2,32,High,A,636,Large_Unit,5650000,8884,24/4/2026,South,2. Premium (Open Channel/Greenery),450,8.5
 3 Chestwood ,2,4,Low,G,538,Middle_Unit,4000000,7299,24/4/2026,South West,1. Premium Plus (Full Park),1300,9
 1 Locwood ,5,4,Low,C,551,Middle_Unit,4280000,7768,24/4/2026,South East,2. Premium (Open Channel/Greenery),450,8.5
 3 Chestwood ,3,27,High,H,549,Middle_Unit,5300000,9654,24/4/2026,South East,1. Premium Plus (Full Park),1300,9
 1 Locwood ,14,25,Mid,C,551,Middle_Unit,4950000,8984,24/4/2026,North West,10. Poor Street (Light Rail Track / Road),500,2
 1 Locwood ,1,12,Mid,D,551,Middle_Unit,4900000,8893,24/4/2026,North East,10. Poor Street (Light Rail Track / Road),450,2
 2 Sherwood ,6,22,Mid,B,633,Large_Unit,5720000,9036,24/4/2026,South East,1. Premium Plus (Full Park),500,9
 1 Locwood ,13,31,High,D,551,Middle_Unit,4900000,8893,24/4/2026,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,7,8,Low,A,638,Large_Unit,5010000,7853,24/4/2026,South East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,13,12,Mid,E,448,Small_Unit,4480000,10000,21/4/2026,South East,2. Premium (Open Channel/Greenery),500,8.5
 3 Chestwood ,5,26,High,C,551,Middle_Unit,5000000,9074,21/4/2026,South East,1. Premium Plus (Full Park),1300,9
 2 Sherwood ,2,18,Mid,B,633,Large_Unit,5480000,8657,21/4/2026,South West,1. Premium Plus (Full Park),500,9
 7 Kenswood ,8,11,Mid,F,442,Small_Unit,4200000,9502,21/4/2026,North West,10. Poor Street (Busy Road),1400,2
 7 Kenswood ,2,4,Low,G,547,Middle_Unit,4650000,8501,21/4/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 1 Locwood ,1,2,Low,A,639,Large_Unit,5338000,8354,21/4/2026,South West,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,9,8,Low,F,442,Small_Unit,3900000,8824,17/4/2026,South,5. Good Internal (Pool/Piazza),1400,6.5
 2 Sherwood ,3,11,Mid,F,449,Small_Unit,4152800,9249,17/4/2026,East,6. Normal (Good Direction - S/E),500,6
 6 Maywood ,2,20,Mid,B,623,Large_Unit,5550000,8909,17/4/2026,South West,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,10,34,High,B,630,Large_Unit,5400000,8571,16/4/2026,East,4. Good Open (Distant Greenery),1400,7
 7 Kenswood ,9,38,High,D,1280,Large_Unit,9000000,7031,16/4/2026,North,8. Normal (Poor Direction - N/W),1400,4.5
 3 Chestwood ,3,22,Mid,F,449,Small_Unit,4230000,9421,15/4/2026,East,6. Normal (Good Direction - S/E),1300,6
 7 Kenswood ,2,18,Mid,B,630,Large_Unit,5250000,8333,15/4/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,6,6,Low,G,547,Middle_Unit,4548000,8314,15/4/2026,South,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,8,22,Mid,F,442,Small_Unit,4228000,9566,15/4/2026,North West,10. Poor Street (Busy Road),1400,2
 5 Lynwood ,2,25,Mid,G,547,Middle_Unit,5120000,9360,14/4/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 6 Maywood ,3,37,High,E,441,Middle_Unit,4288000,9723,13/4/2026,North,4. Good Open (Distant Greenery),1500,7
 5 Lynwood ,8,8,Low,H,550,Middle_Unit,4680000,8509,10/4/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,4,26,High,F,442,Small_Unit,4200000,9502,10/4/2026,West,10. Poor Street (Busy Road),1500,2
 6 Maywood ,4,11,Mid,D,544,Middle_Unit,4880000,8971,1/4/2026,South,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,9,25,Mid,B,630,Large_Unit,5500000,8730,1/4/2026,North West,10. Poor Street (Busy Road),1400,2
 6 Maywood ,4,26,High,C,544,Middle_Unit,5100000,9375,1/4/2026,South West,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,3,24,Mid,F,441,Small_Unit,4230000,9592,1/4/2026,East,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,6,30,High,B,623,Large_Unit,5500000,8828,1/4/2026,South East,6. Normal (Good Direction - S/E),1500,6
 2 Sherwood ,3,25,Mid,F,449,Small_Unit,3950000,8797,1/4/2026,East,6. Normal (Good Direction - S/E),500,6
 1 Locwood ,12,15,Mid, A,636,Large_Unit,4800000,7547,31/3/2026,North East,10. Poor Street (Light Rail Track / Road),500,2
 7 Kenswood ,8,17,Mid, A,635,Large_Unit,4900000,7717,31/3/2026,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,5,24,Mid, B,630,Large_Unit,5600000,8889,30/3/2026,South,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,1,18,Mid, B,633,Large_Unit,5080000,8025,30/3/2026,South,1. Premium Plus (Full Park),1300,9
 5 Lynwood ,8,16,Mid, F,442,Small_Unit,4100000,9276,27/3/2026,North West,10. Poor Street (Busy Road),1500,2
 6 Maywood ,5,1,Low, C,544,Middle_Unit,4480000,8235,27/3/2026,South East,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,2,29,High, F,449,Small_Unit,4600000,10245,27/3/2026,North,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,6,15,Mid, D,544,Middle_Unit,4850000,8915,25/3/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,4,35,High, F,442,Small_Unit,4080000,9231,25/3/2026,West,10. Poor Street (Busy Road),1500,2
 3 Chestwood ,3,22,Mid, E,448,Small_Unit,4080000,9107,23/3/2026,North,8. Normal (Poor Direction - N/W),1300,4.5
 7 Kenswood ,10,17,Mid, G,547,Middle_Unit,4000000,7313,20/3/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 2 Sherwood ,2,35,High, F,449,Small_Unit,4770000,10624,17/3/2026,North,8. Normal (Poor Direction - N/W),500,4.5
 7 Kenswood ,2,34,High, E,1002,Large_Unit,8500000,8483,17/3/2026,North,8. Normal (Poor Direction - N/W),1400,4.5
 6 Maywood ,5,28,High, G,544,Middle_Unit,5000000,9191,16/3/2026,South East,6. Normal (Good Direction - S/E),1500,6
 2 Sherwood ,2,9,Low, H,552,Middle_Unit,4720000,8551,13/3/2026,North,8. Normal (Poor Direction - N/W),500,4.5
 7 Kenswood ,6,23,Mid, D,544,Middle_Unit,4800000,8824,12/3/2026,South West,5. Good Internal (Pool/Piazza),1400,6.5
 7 Kenswood ,6,30,High, F,442,Small_Unit,4450000,10068,12/3/2026,North,8. Normal (Poor Direction - N/W),1400,4.5
 6 Maywood ,3,20,Mid, G,544,Middle_Unit,4780000,8787,11/3/2026,South East,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,1,35,High, G,544,Middle_Unit,5000000,9191,11/3/2026,South West,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,4,7,Low, B,630,Large_Unit,4838000,7679,10/3/2026,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,7,11,Mid, F,442,Small_Unit,4238000,9588,10/3/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,3,16,Mid, B,630,Large_Unit,5300000,8413,10/3/2026,South,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,6,8,Low, E,448,Small_Unit,3900000,8705,10/3/2026,North West,1. Premium Plus (Full Park),1300,9
 7 Kenswood ,6,31,High, G,547,Middle_Unit,5080000,9287,6/3/2026,South,5. Good Internal (Pool/Piazza),1400,6.5
 1 Locwood ,2,4,Low, H,552,Middle_Unit,4050000,7337,6/3/2026,North,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,2,12,Mid, F,442,Small_Unit,4000000,9050,3/3/2026,East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,3,7,Low, C,551,Middle_Unit,4850000,8802,3/3/2026,South East,2. Premium (Open Channel/Greenery),450,8.5
 5 Lynwood ,2,13,Mid, G,547,Middle_Unit,4580000,8373,3/3/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 2 Sherwood ,6,25,Mid, H,549,Middle_Unit,4830000,8798,3/3/2026,North West,1. Premium Plus (Full Park),500,9
 6 Maywood ,3,21,Mid, F,441,Small_Unit,4520000,10249,27/2/2026,East,6. Normal (Good Direction - S/E),1500,6
 2 Sherwood ,3,22,Mid, E,448,Small_Unit,3950000,8817,27/2/2026,North,8. Normal (Poor Direction - N/W),500,4.5
 6 Maywood ,1,23,Mid, B,623,Large_Unit,5688000,9130,27/2/2026,South West,6. Normal (Good Direction - S/E),1500,6
 5 Lynwood ,9,37,High, A,635,Large_Unit,5300000,8346,27/2/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,11,29,High, F,449,Small_Unit,4130000,9198,27/2/2026,West,8. Normal (Poor Direction - N/W),500,4.5
 7 Kenswood ,14,31,High, F,442,Small_Unit,4430000,10023,27/2/2026,North East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,3,36,High, G,548,Middle_Unit,4920000,8978,27/2/2026,South East,1. Premium Plus (Full Park),500,9
 5 Lynwood ,7,38,High, A,1462,Large_Unit,12550000,8584,26/2/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,5,6,Low, H,552,Middle_Unit,4980000,9022,23/2/2026,South East,1. Premium Plus (Full Park),1300,9
 5 Lynwood ,9,1,Low, B,630,Large_Unit,4200000,6667,23/2/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,3,9,Low, F,449,Small_Unit,3850000,8575,20/2/2026,East,6. Normal (Good Direction - S/E),1300,6
 1 Locwood ,3,2,Low, C,551,Middle_Unit,4710000,8548,16/2/2026,South East,2. Premium (Open Channel/Greenery),450,8.5
 5 Lynwood ,9,25,Mid, D,544,Middle_Unit,4680000,8603,16/2/2026,North,8. Normal (Poor Direction - N/W),1500,4.5
 2 Sherwood ,3,10,Low, C,551,Middle_Unit,4680000,8494,13/2/2026,South East,1. Premium Plus (Full Park),500,9
 5 Lynwood ,6,13,Mid, C,546,Middle_Unit,4500000,8242,13/2/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,6,18,Mid, B,630,Large_Unit,5280000,8381,13/2/2026,South East,5. Good Internal (Pool/Piazza),1500,6.5
